country,year,Rule_of_Law,Regulatory_Quality,Govt_Effectiveness,Control_of_Corruption,Political_Stability,Voice_Accountability,MktCap_GDP_pct,Portfolio_Inflows_USD,GDP_USD,country_name
CHN,2012,-0.691498899999999,-0.2489079,-0.132009799999999,-0.5068203,-0.6177714,-1.455172,42.6276108457102,29902702074.1387,8673664713189.24,China
CHN,2013,-0.795021299999999,-0.262571999999999,-0.1410284,-0.4580204,-0.5627312,-1.4723262,40.5326196174462,32594970774.1324,9743124247267.24,China
CHN,2014,-0.6904443,-0.1691285,0.4896286,-0.3014404,-0.523856099999999,-1.3647981,56.2548972900922,51915788939.8445,10674533168257.4,China
CHN,2015,-0.6620808,-0.1789518,0.5336101,-0.1750814,-0.5462433,-1.3924056,72.5835808340326,14964496565.6,11280814787468.9,China
CHN,2016,-0.6211726,-0.147913799999999,0.543189,-0.092968,-0.501441799999999,-1.3897969,63.9029590501553,23416073023.423,11456024084962.0,China
CHN,2017,-0.5354403,-0.0708427,0.5787617,-0.0492492,-0.203288,-1.3804523,69.4813653656583,36208879301.31,12537559062282.9,China
CHN,2018,-0.5204445,-0.0905581,0.5311035,-0.0701512,-0.237003599999999,-1.4520217,44.7058557619521,60667928466.48,14147765772963.8,China
CHN,2019,-0.5515574,-0.0619233999999999,0.6706547,-0.0496157999999999,-0.138588699999999,-1.5025339,58.8558640185154,44906049116.09,14560167101283.4,China
CHN,2020,-0.5093696,-0.0666201,0.5674972,0.0531167,-0.302661299999999,-1.54226819999999,81.8646786726428,80334733544.4,14996414166715.1,China
CHN,2021,-0.5386195,-0.0246937,0.6669456,0.0556852,-0.259168,-1.61369489999999,79.3192238397069,82900846960.64,18201698719564.0,China
CHN,2022,-0.563864399999999,-0.0908271,0.5292387,0.0432332,-0.249058199999999,-1.6167147,62.6166578891979,38464324948.92,18316765021690.2,China
CHN,2023,-0.552260699999999,-0.0818839,0.7776287,0.1138225,-0.174451499999999,-1.64670189999999,59.8556765846528,11291258950.41,18270356654533.2,China
CHN,2024,-0.579319799999999,-0.0712903,0.8957842,0.0886811,-0.153336399999999,-1.6531931,62.7181039133864,-20236688840.51,18743803170827.2,China
DEU,2000,1.6877899,1.603699,1.7619844,1.7250859,1.3500041,1.5940086,64.5783239896819,-27954347360.9921,1966980701145.1,Alemanha
DEU,2001,,,,,,,54.5036012508445,76890620967.9197,1966381496641.73,Alemanha
DEU,2002,1.6964095,1.6601953,1.7461478,1.8103024,1.0125434,1.5401099,32.6307836233992,13823426043.9609,2102350798305.89,Alemanha
DEU,2003,1.6968919,1.4997507,1.5716359,1.8885223,0.7285007,1.4840326,42.5699149347862,25249417533.9526,2534715518349.01,Alemanha
DEU,2004,1.6707882,1.4377554,1.5450395,1.7933498,0.7052146,1.4773526,41.8788117991391,-7881311243.18104,2852317768061.78,Alemanha
DEU,2005,1.6632518,1.5056287,1.6484947,1.9288145,0.993342,1.568364,41.5476294494245,22064839908.3239,2893393187361.87,Alemanha
DEU,2006,1.6705656,1.5062382,1.6976514,1.7295898,1.0364686,1.5816214,53.7571829522138,35648298963.8876,3046308753670.58,Alemanha
DEU,2007,1.7387655,1.5280349,1.7597094,1.6554474,1.0605417,1.57531,60.423753481629,76962834218.9175,3484056680854.91,Alemanha
DEU,2008,1.6322926,1.3519451,1.737643,1.688208,1.008294,1.5465795,29.1628668367447,-68625797941.1023,3808197720125.0,Alemanha
DEU,2009,1.6083385,1.4048295,1.7720019,1.6821928,1.0301906,1.5905728,37.1521747753963,20837407671.2393,3478545516683.59,Alemanha
DEU,2010,1.6169218,1.4217684,1.538577,1.6517124,0.9300893,1.5107482,41.2368151824591,4762461883.98264,3467093769666.67,Alemanha
DEU,2011,1.5919362,1.472517,1.645879,1.6649059,0.895856,1.518923,30.978859078058,-5501286728.9299,3823575803793.78,Alemanha
DEU,2012,1.6179786,1.5033775,1.7583687,1.6570716,0.9668035,1.5272685,41.3268938999697,-2528212392.54079,3596483233406.25,Alemanha
DEU,2013,1.6271661,1.4776207,1.8105078,1.6261055,0.9567087,1.528676,50.8561638490348,15293848772.652,3807023797050.99,Alemanha
DEU,2014,1.7365653,1.5568299,1.9655186,1.7082916,1.067265,1.5532686,43.8485684872249,2688987138.64616,3964870735760.77,Alemanha
DEU,2015,1.739872,1.6412186,1.9623466,1.7233648,0.8311441,1.5917252,50.0949082078409,20854937638.7276,3425099578746.09,Alemanha
DEU,2016,1.6848367,1.6895096,1.9057837,1.763112,0.7945337,1.5145689,48.5197743240464,-8195206605.90619,3536787895179.0,Alemanha
DEU,2017,1.7028849,1.6946666,1.8901031,1.8222612,0.7022243,1.5233606,60.079981755637,-4039382213.62282,3765351626105.89,Alemanha
DEU,2018,1.715527,1.6795515,1.8019092,1.9178103,0.8239013,1.5425213,43.2795387525403,-43162890335.5035,4055433215301.96,Alemanha
DEU,2019,1.7076622,1.6651379,1.8881241,1.8768449,0.7271723,1.5336755,52.9855978284666,-13244525796.6448,3959894794039.21,Alemanha
DEU,2020,1.6271231,1.5622145,1.7812546,1.8713077,0.6840532,1.6004463,57.9517289387954,-17659244079.4221,3941398957073.94,Alemanha
DEU,2021,1.6349496,1.6129105,1.8265941,1.8243293,0.6603045,1.5769284,57.4718950080433,-7214361527.12912,4355251953410.78,Alemanha
DEU,2022,1.5810518,1.5636199,1.7792628,1.8224098,0.5284799,1.5586754,44.9810563246043,-10744584569.2912,4201021706478.62,Alemanha
DEU,2023,1.5855645,1.4741969,1.5613864,1.699403,0.50602,1.5915479,47.7411977532533,-16682742417.2123,4562207532490.28,Alemanha
DEU,2024,1.6257844,1.4980615,1.5462994,1.7734211,0.1242671,1.5981515,43.6283922696023,-7768508014.61031,4685592577804.69,Alemanha
