Date,DFF,SOFR,SONIA,T10Y2Y
2016-05-01,0.3,,0.4584,1.06
2016-05-02,0.37,,0.4584,1.08
2016-05-03,0.37,,0.4609,1.06
2016-05-04,0.37,,0.4707,1.04
2016-05-05,0.37,,0.4619,1.04
2016-05-06,0.37,,0.4631,1.05
2016-05-07,0.37,,0.4631,1.05
2016-05-08,0.37,,0.4631,1.05
2016-05-09,0.37,,0.463,1.05
2016-05-10,0.37,,0.4606,1.05
2016-05-11,0.37,,0.4609,0.99
2016-05-12,0.37,,0.461,0.99
2016-05-13,0.37,,0.4635,0.95
2016-05-14,0.37,,0.4635,0.95
2016-05-15,0.37,,0.4635,0.95
2016-05-16,0.37,,0.4633,0.96
2016-05-17,0.37,,0.4629,0.94
2016-05-18,0.37,,0.4648,0.97
2016-05-19,0.37,,0.4649,0.96
2016-05-20,0.37,,0.4642,0.96
2016-05-21,0.37,,0.4642,0.96
2016-05-22,0.37,,0.4642,0.96
2016-05-23,0.37,,0.4623,0.93
2016-05-24,0.37,,0.4669,0.94
2016-05-25,0.37,,0.4651,0.95
2016-05-26,0.37,,0.4653,0.96
2016-05-27,0.37,,0.4666,0.95
2016-05-28,0.37,,0.4666,0.95
2016-05-29,0.37,,0.4666,0.95
2016-05-30,0.37,,0.4666,0.95
2016-05-31,0.29,,0.4542,0.97
2016-06-01,0.37,,0.4633,0.94
2016-06-02,0.37,,0.461,0.92
2016-06-03,0.37,,0.4651,0.93
2016-06-04,0.37,,0.4651,0.93
2016-06-05,0.37,,0.4651,0.93
2016-06-06,0.37,,0.4624,0.93
2016-06-07,0.37,,0.4632,0.94
2016-06-08,0.37,,0.4607,0.93
2016-06-09,0.37,,0.4612,0.91
2016-06-10,0.37,,0.4607,0.91
2016-06-11,0.37,,0.4607,0.91
2016-06-12,0.37,,0.4607,0.91
2016-06-13,0.37,,0.4578,0.89
2016-06-14,0.37,,0.4593,0.88
2016-06-15,0.37,,0.4597,0.91
2016-06-16,0.38,,0.464,0.87
2016-06-17,0.38,,0.4613,0.92
2016-06-18,0.38,,0.4613,0.92
2016-06-19,0.38,,0.4613,0.92
2016-06-20,0.38,,0.4604,0.93
2016-06-21,0.38,,0.4589,0.95
2016-06-22,0.38,,0.4618,0.94
2016-06-23,0.39,,0.4604,0.96
2016-06-24,0.4,,0.4581,0.93
2016-06-25,0.4,,0.4581,0.93
2016-06-26,0.4,,0.4581,0.93
2016-06-27,0.41,,0.4584,0.85
2016-06-28,0.41,,0.4585,0.85
2016-06-29,0.41,,0.4569,0.88
2016-06-30,0.3,,0.4416,0.91
2016-07-01,0.41,,0.4635,0.87
2016-07-02,0.41,,0.4635,0.87
2016-07-03,0.41,,0.4635,0.87
2016-07-04,0.41,,0.4655,0.87
2016-07-05,0.4,,0.4601,0.81
2016-07-06,0.4,,0.4608,0.8
2016-07-07,0.4,,0.4612,0.82
2016-07-08,0.4,,0.461,0.76
2016-07-09,0.4,,0.461,0.76
2016-07-10,0.4,,0.461,0.76
2016-07-11,0.4,,0.4603,0.77
2016-07-12,0.4,,0.4598,0.84
2016-07-13,0.4,,0.4593,0.8
2016-07-14,0.4,,0.3954,0.85
2016-07-15,0.4,,0.4666,0.89
2016-07-16,0.4,,0.4666,0.89
2016-07-17,0.4,,0.4666,0.89
2016-07-18,0.4,,0.4617,0.91
2016-07-19,0.4,,0.4581,0.86
2016-07-20,0.4,,0.4615,0.86
2016-07-21,0.4,,0.4671,0.87
2016-07-22,0.4,,0.4632,0.86
2016-07-23,0.4,,0.4632,0.86
2016-07-24,0.4,,0.4632,0.86
2016-07-25,0.4,,0.4565,0.86
2016-07-26,0.4,,0.4603,0.82
2016-07-27,0.4,,0.4589,0.79
2016-07-28,0.4,,0.4575,0.8
2016-07-29,0.3,,0.4534,0.79
2016-07-30,0.3,,0.4534,0.79
2016-07-31,0.3,,0.4534,0.79
2016-08-01,0.4,,0.457,0.84
2016-08-02,0.4,,0.4604,0.88
2016-08-03,0.4,,0.4565,0.88
2016-08-04,0.4,,0.246,0.87
2016-08-05,0.4,,0.2139,0.87
2016-08-06,0.4,,0.2139,0.87
2016-08-07,0.4,,0.2139,0.87
2016-08-08,0.4,,0.2175,0.85
2016-08-09,0.4,,0.2107,0.84
2016-08-10,0.4,,0.2122,0.81
2016-08-11,0.4,,0.2141,0.81
2016-08-12,0.4,,0.2111,0.8
2016-08-13,0.4,,0.2111,0.8
2016-08-14,0.4,,0.2111,0.8
2016-08-15,0.4,,0.211,0.83
2016-08-16,0.4,,0.2115,0.81
2016-08-17,0.4,,0.2098,0.82
2016-08-18,0.4,,0.2118,0.82
2016-08-19,0.4,,0.2146,0.82
2016-08-20,0.4,,0.2146,0.82
2016-08-21,0.4,,0.2146,0.82
2016-08-22,0.4,,0.2133,0.79
