Date,GPR,GPR_THREAT,GPR_ACT,GPR_BROAD,GPR_NARROW,GPR_RAW,GPR_THREAT_RAW,GPR_ACT_RAW,GPR_BROAD_RAW,GPR_NARROW_RAW
2016-06-01,121.1292222483198,129.79705899194985,74.96782034541911,90.7431407158158,128.93744473297957,346.0,311.0,38.0,475.0,316.0
2016-07-01,128.34540148610458,137.621025934734,78.79167822519862,92.33931572292379,128.6966224652827,358.0,322.0,39.0,472.0,308.0
2016-08-01,104.31616653544367,106.53279060319952,98.66094725342911,75.036799685144,110.10435486565977,286.0,245.0,48.0,377.0,259.0
2016-09-01,88.76497340770923,91.23966009947259,80.74399344791378,82.38326968602541,87.1647383177616,254.0,219.0,41.0,432.0,214.0
2016-10-01,82.81803743467543,86.03176245978722,65.84234146767254,74.25923058139739,76.49981871553194,241.0,210.0,34.0,396.0,191.0
2016-11-01,105.22968906879193,114.77320728671204,52.57117030514483,77.785725877958,105.68530353812574,282.0,258.0,25.0,382.0,243.0
2016-12-01,118.99256547864053,126.55889717255167,76.69815261690297,102.28049161733956,121.46533217956804,306.0,273.0,35.0,482.0,268.0
2017-01-01,123.47584668337932,124.38343436136606,114.20847494006539,102.4008322373218,129.04086853838436,329.0,278.0,54.0,500.0,295.0
2017-02-01,127.09346501478109,134.1436135898966,84.39442408235647,114.63264071803974,130.20324283776975,314.0,278.0,37.0,519.0,276.0
2017-03-01,122.73718536749054,122.4321763630771,123.00714321038065,98.21942601010426,125.11876271796854,343.0,287.0,61.0,503.0,300.0
2017-04-01,174.2232199257568,189.6998455180858,95.99854622396153,126.12907779221929,186.8155444428409,450.0,411.0,44.0,597.0,414.0
2017-05-01,163.49026032431107,161.4805118786937,162.10301528105032,129.55092169496382,173.57532975872908,449.0,372.0,79.0,652.0,409.0
2017-06-01,135.2944879969006,136.3689870280851,131.1464238740372,121.18301274052246,139.29892297065106,343.0,290.0,59.0,563.0,303.0
2017-07-01,91.47206462468141,94.80552203422927,67.32724338057015,81.29103631680033,93.55780064979427,245.0,213.0,32.0,399.0,215.0
2017-08-01,201.64042681355747,219.18877095035643,117.25504727436868,149.05102386252858,210.32356026088075,533.0,486.0,55.0,722.0,477.0
2017-09-01,148.07080705592887,164.1971201896279,60.34503261919328,117.8767908986323,156.6554834415167,401.0,373.0,29.0,585.0,364.0
2017-10-01,147.08010400812154,166.9559266261296,48.64949297243239,114.63278223761431,158.75406056911547,460.0,438.0,27.0,657.0,426.0
2017-11-01,119.19203518226938,132.85307085406353,50.9679725438019,93.94971029904008,129.50855519667593,369.0,345.0,28.0,533.0,344.0
2017-12-01,117.32789972171925,129.14499178583245,50.70997586348381,117.28448508271465,127.87333947132386,339.0,313.0,26.0,621.0,317.0
2018-01-01,163.53986218995004,182.92474176626607,58.74735881652127,132.796882313506,173.9019832692128,502.0,471.0,32.0,747.0,458.0
2018-02-01,100.54142559561852,108.96423819425634,55.62814356488607,92.77109121475165,103.12093869242682,275.0,250.0,27.0,465.0,242.0
2018-03-01,205.3278326064302,228.08368102993643,82.52098391401603,152.34740765013206,218.5357785968535,645.0,601.0,46.0,877.0,589.0
2018-04-01,237.68415608524833,269.82346324017516,87.22744604235935,168.55664919532367,259.7863558869305,691.0,658.0,45.0,898.0,648.0
2018-05-01,177.05173993923322,205.9817820884958,35.17090086283537,145.55087820270154,192.19155368877975,539.0,526.0,19.0,812.0,502.0
2018-06-01,203.35128736730667,229.95358586627864,68.16739896776271,143.07978431728552,217.19536035779635,622.0,590.0,37.0,802.0,570.0
2018-07-01,243.92096572870307,274.54556822772,82.55112985043245,163.0358338135148,270.0002509778809,716.0,676.0,43.0,877.0,680.0
2018-08-01,161.3919914402023,182.64122606493478,53.83904263362334,118.97865768794766,176.97014117393485,473.0,449.0,28.0,639.0,445.0
2018-09-01,132.234429960725,151.65707711165587,30.184632456342825,113.62795837764183,142.41622271994947,395.0,380.0,16.0,622.0,365.0
2018-10-01,165.67832590960614,189.45978959355904,39.88408259708161,112.87995004061668,178.47794955873226,515.0,494.0,22.0,643.0,476.0
